Basic stuff
Jan,Feb,Mar,Apr,May,Jun,Jul,Aug
Ford Motor Company,"16629","10390","40755","18074","19892","22049","17049","10764"
Volkswagen UK,"13224","7960","38335","15161","15737","20474","15183","11334"
Mercedes-Benz UK,"12249","6088","33536","11739","14431","14947","12056","5040"
Vauxhall Motors,"12250","4905","37769","10639","13461","15540","10398","4864"
BMW,"9553","6870","30330","10868","12415","19985","9198","4853"


Hard mode
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug
Ford Motor Company,"16,629","10,390","40,755","18,074","19,892","22,049","17,049","10,764"
Volkswagen UK,"13,224","7,960","38,335","15,161","15,737","20,474","15,183","11,334"
Mercedes-Benz UK,"12,249","6,088","33,536","11,739","14,431","14,947","12,056","5,040"
Vauxhall Motors,"12,250","4,905","37,769","10,639","13,461","15,540","10,398","4,864"
BMW,"9,553","6,870","30,330","10,868","12,415","19,985","9,198","4,853"
